品目,よみ,業種指定,排出区分,指定袋,搬入制限,搬入制限コメント,産業廃棄物,収納袋義務除外申請対象,備考1,備考1リンク,備考1リンク表示文字列,備考2,備考2リンク,備考2リンク表示文字列,更新日
剪定枝・伐採木（太さ5cm、長さ50cm以下のもの）,せんていえだ・ばっさいぼく,その他の業種,可燃,対象,,,,対象,剪定枝・伐採木（草・木根を除く）は資源化できます※資源化する場合はサイズの制限がありません,http://www.city.kobe.lg.jp/business/regulation/environment/enterprise/bug02.html#midashi84933,こちらのページでリサイクルについてご案内しています,太さ5cm、長さ50cmを超えるものは粗大(不燃)ごみです,,,5/23/2017
剪定枝・伐採木（太さ5cm、長さ50cm以上のもの）,せんていえだ・ばっさいぼく,造園工事業,搬入禁止,,,,対象,,造園工事業（庭園、公園、緑地等の苑地を築造する工事を行う事業）により生じたものがこれに当たります。一方、造園業（主として請負で築庭、庭園樹の植樹、庭園・花壇の手入れなどを行う事業）により生じたものは粗大(不燃)ごみとなります。,,,,,,5/23/2017
剪定枝・伐採木（太さ5cm、長さ50cm以上のもの）,せんていえだ・ばっさいぼく,その他の業種,粗大(不燃),,,,,,剪定枝・伐採木（草・木根を除く）は資源化できます※資源化する場合はサイズの制限がありません,http://www.city.kobe.lg.jp/business/regulation/environment/enterprise/bug02.html#midashi84933,こちらのページでリサイクルについてご案内しています,太さ5cm、長さ50cm以下のものは可燃ごみです,,,5/23/2017
木製家具・器具類,もくせいかぐ・きぐるい,木材・木製品製造業、パルプ製造業、輸入木材卸売業、物品賃貸業,搬入禁止,,,,対象,,,,,,,,5/23/2017
木製家具・器具類,もくせいかぐ・きぐるい,その他の業種,粗大(不燃),,,,,,50cm以下のものは可燃ごみです,,,,,,5/23/2017
繊維くず,せんいくず,繊維工業（縫製を除く）,搬入禁止,,,,対象,,木綿・羊毛等の天然繊維くずがこれに当たります,,,,,,5/23/2017
繊維くず,せんいくず,建設業,搬入禁止,,,,対象,,新築、改築、増築、除去等に伴う繊維くずがこれに当たります,,,,,,5/23/2017
繊維くず,せんいくず,その他の業種,可燃,対象,,,,,,,,,,,5/23/2017
繊維くず（PCBが染み込んだもの）,せんいくず,,搬入禁止,,,,対象,,,,,,,,5/23/2017
動植物性残さ,どうしょくぶつせいざんさ,"食料品製造業、飲料・飼料・有機質肥料製造業、医薬品製造業,香料製造業",搬入禁止,,,,対象,,製造工程で生じた動物又は植物に係る固形状の不要物（あめかす、のりかす、醸造かす、醗酵かす、魚及び獣のあら等）がこれに当たります,,,魚腸骨（魚アラ）につきましては、再生利用業(再生輸送)指定業者でリサイクルが可能です。,http://www.city.kobe.lg.jp/business/regulation/environment/enterprise/saiseiriyou.html,,5/23/2017
動植物性残さ,どうしょくぶつせいざんさ,その他の業種,可燃,対象,,,,,,,,,,,5/23/2017
調理くず,ちょうりくず,,可燃,対象,,,,,食品製造業で生じたものは産業廃棄物として処分してください,tel:0783817464,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,"調理くずの中には,資源化できるものや,計画的に消費すれば減らすことができるものが多く含まれています。",http://www.city.kobe.lg.jp/business/regulation/environment/enterprise/bug02.html,こちらのページで減量・リサイクルについてご案内しています。,5/23/2017
食品の売れ残り,しょくひんのうれのこり,,可燃,対象,,,,,食品製造業で生じたものは産業廃棄物として処分してください,tel:0783817464,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,"食品の売れ残りの中には,資源化できるものや,計画的に消費すれば減らすことができるものが多く含まれています。",http://www.city.kobe.lg.jp/business/regulation/environment/enterprise/bug02.html,こちらのページで減量・リサイクルについてご案内しています。,5/23/2017
食べ残し,たべのこし,,可燃,対象,,,,,食品製造業で生じたものは産業廃棄物として処分してください,tel:0783817464,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,"食べ残しの中には,資源化できるものや,計画的に消費すれば減らすことができるものが多く含まれています。",http://www.city.kobe.lg.jp/business/regulation/environment/enterprise/bug02.html,こちらのページで減量・リサイクルについてご案内しています。,5/23/2017
動物系固形不要物,どうぶつけいこけいふようぶつ,と畜場、食鳥処理場,搬入禁止,,,,対象,,と畜場においてとさつ・解体した獣畜、食鳥処理場において食鳥処理した食鳥に係る固形状の不要物がこれにあたります,,,,,,5/23/2017
動物系固形不要物,どうぶつけいこけいふようぶつ,その他の業種,可燃,対象,,,,,,,,,,,5/23/2017
動物のふん尿,どうぶつのふんにょう・かちくふんにょう,畜産農業,搬入禁止,,,,対象,,ふん尿を排水処理し、その後に発生した泥状物は産業廃棄物の「汚泥」に該当します,,,,,,5/23/2017
動物のふん尿,どうぶつのふんにょう・かちくふんにょう,畜産農業以外の業種,搬入禁止,,,,,,神戸市環境共栄事業協同組合（共栄会）にご相談ください,tel:0783313470,神戸市環境共栄事業協同組合（078-331-3470）,,,,5/23/2017
動物の死体(家畜の死体),どうぶつのしたい・かちくのしたい,畜産農業,搬入禁止,,,,対象,,,,,,,,5/23/2017
動物の死体(家畜の死体),どうぶつのしたい・かちくのしたい,畜産農業以外の業種,搬入禁止,,,,,,神戸市環境共栄事業協同組合（共栄会）にご相談ください,tel:0783313470,神戸市環境共栄事業協同組合（078-331-3470）,,,,5/23/2017
廃棄物のコンクリート固化物,はいきぶつのこんくりーとこかぶつ,,搬入禁止,,,,対象,,産業廃棄物を処分するために処理したものて?あって、各種産業廃棄物には該当しないものがこれに当たります。,,,,,,5/23/2017
紙おむつ（感染のおそれがあるもの）,かみおむつ,医療機関・薬局,搬入禁止,,,,対象,,感染性廃棄物として処分してください,http://www.city.kobe.lg.jp/business/regulation/environment/industry/img/iryou-ru-ru.pdf#page=8,（参考）医療関係の廃棄物適正処理ルールBOOK,,,,5/23/2017
紙おむつ（感染のおそれがあるもの）,かみおむつ,医療機関・薬局以外,可燃,対象,,,,,汚物を取り除いて出してください,,,,,,5/23/2017
手洗い消毒液用容器,てあらいしょうどくえきようようき,医療機関・薬局,搬入禁止,,,,対象,,,,,,,,5/23/2017
手洗い消毒液用容器,てあらいしょうどくえきようようき,医療機関・薬局以外,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
注射器（シリンジ・合成樹脂製）,ちゅうしゃき,医療機関・薬局,搬入禁止,,,,対象,,感染症の種類等により感染性廃棄物として扱う場合があります,http://www.city.kobe.lg.jp/business/regulation/environment/industry/img/iryou-ru-ru.pdf#page=8,（参考）医療関係の廃棄物適正処理ルールBOOK,,,,5/23/2017
注射器（シリンジ・合成樹脂製）,ちゅうしゃき,医療機関・薬局以外,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,医療機関以外から排出され、全品未使用であることが確認される場合に限ります,,,,,,5/23/2017
浮子（合成樹脂製）,うき,漁業・海水浴場,搬入禁止,,,,対象,,ノリ種苗用として使用したものも含まれます,,,漁港に放置されたものも含みます,,,5/23/2017
浮子（合成樹脂製）,うき,漁業・海水浴場以外,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
網（合成樹脂製）,あみ,漁業・海水浴場,搬入禁止,,,,対象,,ノリ種苗用として使用したものも含まれます,,,,,,5/23/2017
網（合成樹脂製）,あみ,農業,搬入禁止,,,,対象,,,,,,,,5/23/2017
網（合成樹脂製）,あみ,その他の業種,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
ロープ（合成樹脂製）,ろーぷ,漁業・海水浴場,搬入禁止,,,,対象,,船舶係留用のものも含まれます,,,,,,5/23/2017
ロープ（合成樹脂製）,ろーぷ,漁業・海水浴場以外,可燃,対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
微生物培養用のシャーレー・培地・試験管・フラスコガラス・ビーカー等,びせいぶつばいようようしゃーれ・ばいち・しけんかん・ふらすこ・びーかー,医療機関・薬局,搬入禁止,,,,対象,,廃棄前に加熱殺菌したものも含まれます,,,,,,5/23/2017
微生物培養用のシャーレー・培地・試験管・フラスコガラス・ビーカー等,びせいぶつばいようようしゃーれ・ばいち・しけんかん・ふらすこ・びーかー,医療機関・薬局以外,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,排出できるのは、医療機関・薬局以外から排出されたことが確認できる場合に限ります,,,,,,5/23/2017
